David Feeney,Representative,Batman,Victoria,Australian Labor Party,,David_Feeney,I0O
David Gillespie,Representative,Lyne,New South Wales,The Nationals,,David_Gillespie,72184
David Hawker,Representative,Wannon,Victoria,Liberal Party of Australia,Life Gold Pass Holder,David_Hawker,
David Johnston,Senator,,Western Australia,Liberal Party of Australia,Post Retirement Traveller,David_Johnston,
David Leyonhjelm,Senator,,New South Wales,Liberal Democratic Party,,David_Leyonhjelm,111206
David Littleproud,Representative,Maranoa,Queensland,The Nationals,,David_Littleproud,265585
Dean Smith,Senator,,Western Australia,Liberal Party of Australia,,Dean_Smith,241710
Deborah O'Neill,Senator,,New South Wales,Australian Labor Party,,Deborah_O'Neill,
Dennis Jensen,Representative,Tangney,Western Australia,Liberal Party of Australia,Post Retirement Traveller,Dennis_Jensen,
Derryn Hinch,Senator,,Victoria,Derryn Hinch's Justice Party,,Derryn_Hinch,2O4
Don Farrell,Senator,,South Australia,Australian Labor Party,,Don_Farrell,I0N
Doug Cameron,Senator,,New South Wales,Australian Labor Party,,Doug_Cameron_(politician),AI6
Ed Husic,Representative,Chifley,New South Wales,Australian Labor Party,,Ed_Husic,91219
Emma Husar,Representative,Lindsay,New South Wales,Australian Labor Party,,Emma_Husar,263328
Emma McBride,Representative,Dobell,New South Wales,Australian Labor Party,,Emma_McBride,248353
Eric Abetz,Senator,,Tasmania,Liberal Party of Australia,,Eric_Abetz,N26
Eric Hutchinson,Representative,Lyons,Tasmania,Liberal Party of Australia,Post Retirement Traveller,Eric_Hutchinson,
Ewen Jones,Representative,Herbert,Queensland,Liberal Party of Australia,Post Retirement Traveller,Ewen_Jones,
Fiona Nash,Senator,,New South Wales,The Nationals,,Fiona_Nash,
Fiona Scott,Representative,Lindsay,New South Wales,Liberal Party of Australia,Post Retirement Traveller,Fiona_Scott,
Fran Bailey,Representative,McEwen,Victoria,Liberal Party of Australia,Life Gold Pass Holder,Fran_Bailey,
Gai Brodtmann,Representative,Canberra,Australian Capital Territory,Australian Labor Party,,Gai_Brodtmann,30540
Gary Gray,Representative,Brand,Western Australia,Australian Labor Party,,Gary_Gray_(Australian_politician),
Gavin Marshall,Senator,,Victoria,Australian Labor Party,,Gavin_Marshall,00AOP
George Brandis,Senator,,Queensland,Liberal Party of Australia,,George_Brandis,008W7
George Christensen,Representative,Dawson,Queensland,The Nationals,,George_Christensen_(politician),230485
Glenn Lazarus,Senator,,Queensland,Palmer United Party,Post Retirement Traveller,Glenn_Lazarus,
Glenn Sterle,Senator,,Western Australia,Australian Labor Party,,Glenn_Sterle,e68
Graham Perrett,Representative,Moreton,Queensland,Australian Labor Party,,Graham_Perrett,HVP
Grant Chapman,Senator,,South Australia,Liberal Party of Australia,Life Gold Pass Holder,Grant_Chapman,
Greg Hunt,Representative,Flinders,Victoria,Liberal Party of Australia,,Greg_Hunt,00AMV
Harry Jenkins,Representative,Scullin,Victoria,Australian Labor Party,Life Gold Pass Holder,Harry_Jenkins,
Helen Coonan,Senator,,New South Wales,Liberal Party of Australia,Life Gold Pass Holder,Helen_Coonan,
Helen Polley,Senator,,Tasmania,Australian Labor Party,,Helen_Polley,e5x
Ian Goodenough,Representative,Moore,Western Australia,Liberal Party of Australia,,Ian_Goodenough,74046
Ian Macdonald,Senator,,Queensland,Liberal Party of Australia,,Ian_Macdonald_(Australian_politician),YW4
Ian Macfarlane,Representative,Groom,Queensland,Liberal Party of Australia,Life Gold Pass Holder,Ian_Macfarlane_(Australian_politician),
Jacinta Collins,Senator,,Victoria,Australian Labor Party,,Jacinta_Collins,GB6
Jacqui Lambie,Senator,,Tasmania,Jacqui Lambie Network,,Jacqui_Lambie,250026
James McGrath,Senator,,Queensland,Liberal Party of Australia,,James_McGrath_(Australian_politician),217241
James Paterson,Senator,,Victoria,Liberal Party of Australia,,James_Paterson_(Australian_politician),144138
Jamie Briggs,Representative,Mayo,South Australia,Liberal Party of Australia,Post Retirement Traveller,Jamie_Briggs,
Jan McLucas,Senator,,Queensland,Australian Labor Party,,Jan_McLucas,
Jane Hume,Senator,,Victoria,Liberal Party of Australia,,Jane_Hume,266499
Jane Prentice,Representative,Ryan,Queensland,Liberal Party of Australia,,Jane_Prentice,217266
Janet Rice,Senator,,Victoria,Australian Greens,,Janet_Rice,155410
Jason Clare,Representative,Blaxland,New South Wales,Australian Labor Party,,Jason_Clare,HWL
Jason Falinski,Representative,Mackellar,New South Wales,Liberal Party of Australia,,Jason_Falinski,G86
Jason Wood,Representative,La Trobe,Victoria,Liberal Party of Australia,,Jason_Wood_(politician),E0F
Jenny Macklin,Representative,Jagajaga,Victoria,Australian Labor Party,,Jenny_Macklin,PG6
Jenny McAllister,Senator,,New South Wales,Australian Labor Party,,Jenny_McAllister,121628
Jill Hall,Representative,Shortland,New South Wales,Australian Labor Party,,Jill_Hall,
Jim Chalmers,Representative,Rankin,Queensland,Australian Labor Party,,Jim_Chalmers_(Queensland_politician),37998
Joanna Lindgren,Senator,,Queensland,Liberal Party of Australia,Post Retirement Traveller,Joanna_Lindgren,
Joanne Ryan,Representative,Lalor,Victoria,Australian Labor Party,,Joanne_Ryan_(politician),249224
Joe Bullock,Senator,,Western Australia,Australian Labor Party,,Joe_Bullock,
Joe Hockey,Representative,North Sydney,New South Wales,Liberal Party of Australia,Life Gold Pass Holder,Joe_Hockey,
Joe Ludwig,Senator,,Queeensland,Australian Labor Party,Life Gold Pass Holder,Joe_Ludwig,
Joel Fitzgibbon,Representative,Hunter,New South Wales,Australian Labor Party,,Joel_Fitzgibbon,8K6
John Alexander,Representative,Bennelong,New South Wales,Liberal Party of Australia,,John_Alexander_(Australian_politician),M3M
