"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","141.96","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","248.26","01-Jan-1900","OS Ministerial - Travel advance",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Jan 17 - Tamworth to Sydney","","","344.87","02-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Jan 17 - Sydney to Tamworth","","","344.87","03-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Jan 17 - Maroochydore to Sydney","","","253.64","18-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Sydney to Tamworth","","","344.87","24-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Tamworth to Sydney","","","604.78","27-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Sydney to Canberra","","","","27-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Canberra to Sydney","","","604.78","28-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Sydney to Tamworth","","","","28-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Sydney to Canberra","","","628.69","31-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Sydney","","","657.12","01-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Armidale","","","","01-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Armidale to Sydney","","","657.12","01-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Canberra","","","","01-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Canberra to Brisbane","","","1,109.07","03-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Rockhampton","","","","03-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Rockhampton to Brisbane","","","1,152.41","03-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Sydney","","","","03-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Sydney to Tamworth","","","344.87","04-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Tamworth to Sydney","","","604.78","05-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Sydney to Canberra","","","","05-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","968.03","10-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Tamworth","","","","10-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Tamworth to Sydney","","","604.78","12-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","","12-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Tamworth to Sydney","","","356.69","21-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Tamworth","","","356.69","21-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Tamworth to Sydney","","","356.69","23-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Feb 17 - Sydney to Tamworth","","","356.69","25-Feb-2017","",""
