"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Monochrome copy charge 28 Nov to 27 Dec 16","8.95","","27-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Colour copy charge 28 Nov to 27 Dec 16","40.57","","27-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","11.28","","28-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","3.43","","28-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","3 The Spectator Australia 2 Jan to 29 Jan 17","29.86","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","Administrative fees 2 Jan to 29 Jan 17","5.45","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","14 The Sydney Morning Herald 2 Jan to 29 Jan 17","33.45","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","14 The Daily Telegraph 2 Jan to 29 Jan 17","17.82","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","14 The Australian Financial Review 2 Jan to 29 Jan 17","50.91","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","14 The Australian 2 Jan to 29 Jan 17","34.36","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Economist 2 Jan to 29 Jan 17","40.00","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","Administrative fees 2 Jan to 29 Jan 17","20.14","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","19 The Daily Telegraph 2 Jan to 29 Jan 17","25.91","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","19 The Sydney Morning Herald 2 Jan to 29 Jan 17","48.36","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","22 The Australian Financial Review 2 Jan to 29 Jan 17","80.00","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Daily Telegraph (Sat) 2 Jan to 29 Jan 17","8.73","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Sunday Telegraph 2 Jan to 29 Jan 17","10.91","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Sun-Herald 2 Jan to 29 Jan 17","12.00","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Sydney Morning Herald (Sat) 2 Jan to 29 Jan 17","13.82","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","4 The Weekend Australian 2 Jan to 29 Jan 17","12.73","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","19 The Australian 2 Jan to 29 Jan 17","46.64","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","3 Time 2 Jan to 29 Jan 17","19.09","","29-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","25 The Australian 30 Jan to 5 Mar 17","65.45","","05-Mar-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","25 The Australian Financial Review 30 Jan to 5 Mar 17","90.91","","05-Mar-2017"
