"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","739.64","19-Mar-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Brisbane","","","739.64","23-Mar-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Brisbane to Brisbane","","","4.55","02-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Stradbroke Island to Redland","","","8.82","08-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Redland to Stradbroke Island","","","9.09","08-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","18 Dec 16 - Brisbane to Townsville","","","181.88","18-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","19 Dec 16 - Townsville to Palm Island","","","254.07","19-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","19 Dec 16 - Palm Island to Townsville","","","","19-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","22 Dec 16 - Cairns to Brisbane","","","388.95","22-Dec-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","11 Jan 17 - Brisbane","","","97.63","11-Jan-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","11 Jan 17 - Sydney","","","107.40","11-Jan-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Brisbane","","","84.31","06-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Canberra","","","78.60","08-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Canberra","","","40.00","09-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Canberra","","","40.00","10-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Brisbane","","","78.60","10-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Brisbane","","","40.00","13-Feb-2017","",""
