"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","19 The Australian 2 May to 27 May 16","46.64","","27-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 May to 3 Jun 16","54.44","","03-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 6 May 16","25.45","","06-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 May to 10 Jun 16","23.07","","10-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 24 May 16","21.82","","24-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","16 The Australian Financial Review 30 May to 24 Jun 16","58.18","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Stock and Land 30 May to 24 Jun 16","1.91","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","10 The Bendigo Advertiser 30 May to 24 Jun 16","12.73","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","15 The Age 30 May to 24 Jun 16","34.09","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","16 The Australian 30 May to 24 Jun 16","39.27","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","7 The Geelong Advertiser 30 May to 24 Jun 16","8.91","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","16 The Ballarat Courier 30 May to 24 Jun 16","21.82","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","2 The Land 30 May to 24 Jun 16","7.27","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","3 Pyrenees Advocate 30 May to 24 Jun 16","4.09","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","4 The Maryborough Advertiser 30 May to 24 Jun 16","4.73","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","4 The Weekly Times 30 May to 24 Jun 16","9.09","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","5 The Ararat Advertiser 30 May to 24 Jun 16","6.82","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","5 The Wimmera Mail-Times 30 May to 24 Jun 16","6.82","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","16 Herald Sun 30 May to 24 Jun 16","21.82","","24-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 3 Jun 16","25.45","","03-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Jun to 3 Jul 16","54.44","","03-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Jun to 10 Jul 16","23.07","","10-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 21 Jun 16","21.82","","21-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","258.00","","16-Jun-2016","16 Jun 16","16 Jun 16","Yea","1","258.00",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","258.00","","18-Jun-2016","18 Jun 16","18 Jun 16","Morwell","1","258.00",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","289.00","","20-Jun-2016","20 Jun 16","20 Jun 16","Colac","1","289.00",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","566.00","","21-Jun-2016","21 Jun 16","22 Jun 16","Warrnambool","2","283.00",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","258.00","","23-Jun-2016","23 Jun 16","23 Jun 16","Simpson","1","258.00",""
"John Madigan","Senator","","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","Electorate Business","566.00","","26-Jun-2016","26 Jun 16","27 Jun 16","Bendigo","2","283.00",""
"John Madigan","Senator","","Victoria","Independent","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones directory charges 1 Jan to 1 Jul 16","1,974.61","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones directory charges 1 Jan to 31 Dec 16","-3,936.90","","31-Dec-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office phones 26 Jun 16","431.61","","26-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Telecommunications","Telecommunications - Usage","Before 1 July 2016","Office fax 26 Jun 16","31.77","","26-Jun-2016","","","","","",""
