"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 14 Jun 16","706.46","14-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","8,000 Printed items 28 Jun 16","960.00","28-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","1 Neoseal bottle 22 Oct 15","59.00","22-Oct-2015"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","3 Neoseal bottles 2 Mar 16","122.00","02-Mar-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","1,231.90","27-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","37.63","27-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","Office requisites and stationery 1 Jun to 30 Jun 16","382.20","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","471.30","27-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","36.99","27-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","Water refills 30 Jun 16","40.00","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","19 The Australian 1 Apr to 30 Apr 16","46.64","30-Apr-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","19 The West Australian 1 Apr to 30 Apr 16","25.91","30-Apr-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 1 May to 31 May 16","49.09","31-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","2 The Australian Financial Review 1 May to 31 May 16","7.27","31-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The West Australian 1 May to 31 May 16","27.27","31-May-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The West Australian 1 Jun to 30 Jun 16","27.27","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 1 Jun to 30 Jun 16","49.09","30-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","32.00","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","12.31","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line 1 Jul 16","53.29","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line adj 1 Jul 16","-4.39","01-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 30 May to 15 Jun 16","348.38","15-Jun-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 19 Jun to 18 Jul 16","1,014.32","18-Jul-2016"
"Luke Simpkins","Representative","Cowan","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 22 Jun to 1 Jul 16","208.85","01-Jul-2016"
