"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Notes"
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","6,500 Printed items 17 Jun 16","3,240.00","17-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","8,800 Printed items 17 Jun 16","1,750.00","17-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","7,000 Personalised letterhead stationery 17 Jun 16","890.00","17-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","500 Printed items 17 Jun 16","780.00","17-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 22 Jun 16","63.64","22-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","4,998 Printed items 24 Jun 16","1,080.00","24-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Victor Harbor Times 27 Jun to 3 Jul 16","1.64","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Southern Argus 27 Jun to 3 Jul 16","1.18","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Spectator Australia 27 Jun to 3 Jul 16","9.95","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Australian 27 Jun to 3 Jul 16","12.27","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","5 The Australian Financial Review 27 Jun to 3 Jul 16","18.18","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","6 The Advertiser 27 Jun to 3 Jul 16","9.09","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Courier 27 Jun to 3 Jul 16","1.36","03-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Weekend Australian 27 Jun to 9 Jul 16","3.18","09-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","1 The Weekend Financial Review 27 Jun to 9 Jul 16","3.64","09-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","10 The Advertiser 27 Jun to 9 Jul 16","13.64","09-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 27 Jun to 9 Jul 16","3.05","09-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","2 The Courier 27 Jun to 9 Jul 16","2.73","09-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office phones 1 Jul 16","1,542.87","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office fax 1 Jul 16","266.26","01-Jul-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","26 Apr 16 - Cape Jervis to Penneshaw","170.91","26-Apr-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","14 Jun 16 - Cape Jervis to Penneshaw","86.74","14-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","14 Jun 16 - Cape Jervis to Penneshaw","173.47","14-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","15 Jun 16 - Penneshaw to Cape Jervis","","15-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Infringement notice fee 18 May 16","15.00","18-May-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 30 May 16","75.40","30-May-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Additional maintenance 30 May 16","358.41","30-May-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Accident excess 2 Jun 16","454.55","02-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Additional maintenance 2 Jun 16","39.20","02-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Loan car costs 9 Jun 16","60.85","09-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Loan car costs 14 Jun 16","57.09","14-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 18 Jun to 24 Jun 16","97.32","24-Jun-2016",""
"Jamie Briggs","Representative","Mayo","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 20 Jun to 1 Jul 16","396.26","01-Jul-2016",""
