"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Sydney Morning Herald 1 Feb to 28 Feb 16","45.45","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Daily Telegraph 1 Feb to 28 Feb 16","26.82","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Canberra Times 1 Feb to 28 Feb 16","36.36","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Economist 1 Feb to 28 Feb 16","40.00","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Land 1 Feb to 28 Feb 16","13.82","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 1 Feb to 28 Feb 16","46.91","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Queanbeyan Age 1 Feb to 28 Feb 16","5.09","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 1 Feb to 28 Feb 16","4.65","28-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bega District News 8 Feb to 6 Mar 16","11.64","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Bombala Times 8 Feb to 6 Mar 16","5.82","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Magnet 8 Feb to 6 Mar 16","5.82","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Merimbula News Weekly 8 Feb to 6 Mar 16","5.82","06-Mar-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bay Post 8 Feb to 6 Mar 16","11.64","06-Mar-2016","","","","","",""
