"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","34.53","01-Jan-2017","OS Ministerial - Travel advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","955.09","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","126.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","40.00","01-Jan-2017","OS Ministerial - Travel advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,097.55","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","6,589.28","01-Jan-2017","OS Ministerial - Fares",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","34.28","01-Jan-2017","OS Ministerial - Travel advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","53.29","01-Jan-2017","OS Ministerial - Travel advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Jan 17 - Bundaberg to Brisbane","","","1,207.22","08-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Jan 17 - Brisbane to Canberra","","","","08-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Jan 17 - Canberra to Brisbane","","","775.56","10-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Jan 17 - Brisbane to Bundaberg","","","","10-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Jan 17 - Bundaberg to Brisbane","","","1,223.97","14-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Jan 17 - Brisbane to Sydney","","","","14-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Jan 17 - Sydney to Port Macquarie","","","374.62","15-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Coffs Harbour to Sydney","","","1,627.15","17-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Sydney to Brisbane","","","","17-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Brisbane to Bundaberg","","","","17-Jan-2017","",""
