"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Brisbane","","","50.95","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Brisbane","","","83.90","05-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","80.40","05-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Brisbane","","","50.90","10-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Brisbane","","","78.60","12-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Feb 17 - Brisbane","","","50.90","14-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Brisbane","","","45.25","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Townsville","","","61.48","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Townsville","","","61.48","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Canberra","","","40.00","17-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Brisbane","","","50.90","17-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Feb 17 - Brisbane","","","83.90","19-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Darwin","","","40.00","20-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Townsville","","","60.48","20-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Townsville","","","60.48","22-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Melbourne","","","82.80","22-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Melbourne","","","78.60","22-Feb-2017","",""
