"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Canberra to Sydney","","","354.03","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Melbourne","","","768.76","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Melbourne to Canberra","","","637.91","27-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Canberra to Melbourne","","","751.97","27-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Mar 17 - Melbourne to Canberra","","","637.91","01-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","637.91","02-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Melbourne to Sydney","","","1,232.44","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Sydney to Canberra","","","","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Canberra to Melbourne","","","438.57","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Adelaide","","","821.27","07-Mar-2017","",""
