"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","4,504.17","01-Jan-1900","OS Ministerial - Ground transport",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","63.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","19.59","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","2,398.67","01-Jan-1900","OS Ministerial - Ground transport",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","1,566.24","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","300.00","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","3,069.84","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","734.34","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,686.65","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","32,520.42","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","3,282.40","01-Jan-1900","OS Ministerial - Ground transport",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","119.06","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","9,722.15","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","82,064.03","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","4,668.48","01-Jan-1900","OS Ministerial - Ground transport",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","315.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","32.21","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","607.41","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","17,387.58","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","126.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","48.24","01-Jan-1900","OS Ministerial - Travel advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","4,078.37","01-Jan-1900","OS Ministerial - Fares",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","193.58","01-Jan-1900","OS Ministerial - Travel advance",""
