"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Coolangatta to Sydney","","","570.83","08-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","9 Dec 16 - Melbourne to Coolangatta","","","551.93","09-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Brisbane","","","100.00","29-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Melbourne","","","85.00","29-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Melbourne","","","50.25","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Brisbane","","","148.86","01-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Brisbane","","","100.00","06-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Canberra","","","40.00","08-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Canberra","","","40.00","10-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Brisbane","","","155.41","10-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Brisbane","","","129.69","12-Feb-2017","",""
