"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-430.00**","01-Jan-2017","OS Ministerial - Equipment allowance",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-126.00#","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-48.54*","01-Jan-2017","OS Ministerial - Travel advance",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Melbourne to Canberra","","","422.03","30-Jan-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Canberra to Sydney","","","341.03","30-Jan-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Wellcamp","","","389.53","01-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Sydney","","","462.60","01-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","121.30","06-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","341.03","09-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Sydney to Canberra","","","121.30","13-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Sydney","","","341.03","16-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Sydney to Melbourne","","","449.33","19-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Melbourne to Sydney","","","449.33","20-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Sydney to Canberra","","","121.30","27-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Sydney","","","354.03","02-Mar-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Sydney to Brisbane","","","155.63","14-Mar-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Brisbane to Sydney","","","155.63","14-Mar-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Sydney to Canberra","","","121.30","20-Mar-2017","",""
