"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Mount Dandenong 19 Apr 16","","","","223.85","19-Apr-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 1 May 16","","","","223.85","01-May-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Mount Dandenong 6 May 16","","","","223.85","06-May-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 1 Mar 15","","","","7.90","01-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 6 Mar 15","","","","7.90","06-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 15 Mar 15","","","","7.90","15-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 19 Mar 15","","","","7.90","19-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 22 Mar 15","","","","7.90","22-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 27 Mar 15","","","","7.90","27-Mar-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 9 May 15","","","","7.90","09-May-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 15 May 15","","","","7.90","15-May-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 24 May 15","","","","7.90","24-May-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 4 Jun 15","","","","7.90","04-Jun-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Mount Dandenong to Canberra 11 Oct 15","","","","7.90","11-Oct-2015"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Mount Dandenong 23 Oct 15","","","","7.90","23-Oct-2015"
