"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Melbourne to Canberra","","","","686.29","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Canberra to Melbourne","","","","778.37","19-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Melbourne to Adelaide","","","","","19-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Adelaide to Canberra","","","","834.00","21-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","842.44","26-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Melbourne to Adelaide","","","","","26-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Adelaide to Canberra","","","","834.00","28-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Adelaide","","","","834.00","04-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Adelaide to Whyalla","","","","373.95","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Whyalla to Adelaide","","","","373.95","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Adelaide to Sydney","","","","938.95","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Sydney to Adelaide","","","","938.95","10-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Adelaide to Canberra","","","","834.00","14-Mar-2016","",""
