"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse","Type"
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","4 The Ballarat Courier (Sat) 30 Nov to 27 Dec 15","7.27","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","Administrative fees 30 Nov to 27 Dec 15","35.92","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","1 Quadrant 30 Nov to 27 Dec 15","8.09","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 The Geelong Advertiser 30 Nov to 27 Dec 15","24.18","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 Herald Sun 30 Nov to 27 Dec 15","24.18","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","18 The Australian Financial Review 30 Nov to 27 Dec 15","62.18","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 The Ballarat Courier 30 Nov to 27 Dec 15","25.91","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 The Australian 30 Nov to 27 Dec 15","46.64","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 The Bendigo Advertiser 30 Nov to 27 Dec 15","24.18","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","19 The Age 30 Nov to 27 Dec 15","43.18","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","5 The Bendigo Advertiser (Sat) 28 Dec 15 to 31 Jan 16","9.09","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","5 The Geelong Advertiser (Sat) 28 Dec 15 to 31 Jan 16","10.23","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","5 The Ballarat Courier (Sat) 28 Dec 15 to 31 Jan 16","9.09","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","Administrative fees 28 Dec 15 to 31 Jan 16","46.06","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","20 The Australian Financial Review 28 Dec 15 to 31 Jan 16","69.09","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 The Age 28 Dec 15 to 31 Jan 16","56.82","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 The Ballarat Courier 28 Dec 15 to 31 Jan 16","34.09","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 The Australian 28 Dec 15 to 31 Jan 16","61.36","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 The Geelong Advertiser 28 Dec 15 to 31 Jan 16","31.82","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 Herald Sun 28 Dec 15 to 31 Jan 16","31.82","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","25 The Bendigo Advertiser 28 Dec 15 to 31 Jan 16","31.82","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","1 Quadrant 28 Dec 15 to 31 Jan 16","8.09","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2016","Directory charges 1 Jan to 28 Feb 16","636.13","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2016","Office phones 26 Jan 16","228.74","","26-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2016","Office fax 26 Jan 16","32.14","","26-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2016","Office phones 26 Feb 16","289.83","","26-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2016","Office fax 26 Feb 16","32.14","","26-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","Before 1 January 2016","Office phones 9 Sep 15","30.00","","09-Sep-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","Before 1 January 2016","Office phones 26 Dec 15","285.27","","26-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","Before 1 January 2016","Office fax 26 Dec 15","32.40","","26-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2016","Residential phones 1 Dec 15","30.00","","01-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Family Travel Costs","Family Traveller Domestic Scheduled Fares","From 1 January 2016","24 Feb 16 - Melbourne to Canberra","686.29","","24-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Family Travel Costs","Family Traveller Domestic Scheduled Fares","From 1 January 2016","25 Feb 16 - Canberra to Melbourne","686.29","","25-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Family Travel Costs","COMCAR","From 1 January 2016","24 Feb 16 - Melbourne","220.08","","24-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Family Travel Costs","COMCAR","From 1 January 2016","25 Feb 16 - Melbourne","207.67","","25-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","1,726.16","","01-Jan-1900","","","","","","","OS Ministerial - Accommodation and meals"
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","2,028.81","","01-Jan-1900","","","","","","","OS Ministerial - Ground transport"
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","2,375.84","","01-Jan-1900","","","","","","","OS Ministerial - Accommodation and meals"
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","35.90","","01-Jan-1900","","","","","","","OS Ministerial - Related travel expenses"
